,ZIP Code,latitude,longitude,city,state,county
36315,83211,42.635233,-112.945777,American Falls,ID,Power
36316,83212,42.512788,-112.542643,Arbon,ID,Power
36317,83213,43.634236,-113.21330800000001,Arco,ID,Butte
36318,83214,42.566743,-112.25920900000001,Arimo,ID,Bannock
36319,83215,43.244795,-112.29791200000001,Atomic City,ID,Bingham
36320,83217,42.813756,-111.52793,Bancroft,ID,Caribou
36321,83218,43.304278000000004,-112.18174099999999,Basalt,ID,Bingham
36322,83220,42.295466,-111.373414,Bern,ID,Bear Lake
36323,83221,43.251328,-112.464518,Blackfoot,ID,Bingham
36324,83223,42.190025,-111.470801,Bloomington,ID,Bear Lake
36325,83226,44.505990000000004,-114.22266599999999,Challis,ID,Custer
36326,83227,44.22397,-114.31271299999999,Clayton,ID,Custer
36327,83228,42.207519,-111.99734099999999,Clifton,ID,Franklin
36328,83229,44.968059000000004,-113.81673500000001,Cobalt,ID,Lemhi
36329,83230,42.719102,-111.596651,Conda,ID,Caribou
36330,83232,42.145827000000004,-111.97748,Dayton,ID,Franklin
36331,83233,42.177359,-111.217381,Dingle,ID,Bear Lake
36332,83234,42.473005,-112.120195,Downey,ID,Bannock
36333,83235,44.22397,-114.31271299999999,Ellis,ID,Custer
36334,83236,43.303218,-112.10956999999999,Firth,ID,Bingham
36335,83237,42.028791999999996,-111.78705500000001,Franklin,ID,Franklin
36336,83238,42.331047999999996,-111.088609,Geneva,ID,Bear Lake
36337,83239,42.472875,-111.435777,Georgetown,ID,Bear Lake
36338,83241,42.525874,-111.76691000000001,Grace,ID,Caribou
36339,83243,42.234859,-112.59920100000001,Holbrook,ID,Oneida
36340,83244,43.908662,-113.087828,Howe,ID,Butte
36341,83245,42.670637,-112.248038,Inkom,ID,Bannock
36342,83246,42.60197,-112.058039,Lava Hot Springs,ID,Bannock
36343,83250,42.611881,-112.207443,Mccammon,ID,Bannock
36344,83251,44.017199,-113.740599,Mackay,ID,Custer
36345,83252,42.236441,-112.556004,Malad City,ID,Oneida
36346,83253,44.968059000000004,-113.81673500000001,May,ID,Lemhi
36347,83254,42.28644,-111.29681000000001,Montpelier,ID,Bear Lake
36348,83255,43.729597999999996,-113.4544,Moore,ID,Butte
36349,83256,43.222648,-112.44225300000001,Moreland,ID,Bingham
36350,83261,42.224249,-111.420825,Paris,ID,Bear Lake
36351,83262,43.133646999999996,-112.62946699999999,Pingree,ID,Bingham
36352,83263,42.207376000000004,-111.812126,Preston,ID,Franklin
36353,83271,42.490846000000005,-112.836032,Rockland,ID,Power
36354,83272,42.095512,-111.32987299999999,Saint Charles,ID,Bear Lake
36355,83274,43.349659,-112.11881299999999,Shelley,ID,Bingham
36356,83276,42.772866,-111.63475700000001,Soda Springs,ID,Caribou
36357,83277,43.080334,-112.672955,Springfield,ID,Bingham
36358,83278,44.371442,-114.85608899999998,Stanley,ID,Custer
36359,83281,42.319496,-111.978055,Swanlake,ID,Bannock
36360,83283,42.379408000000005,-111.68409299999999,Thatcher,ID,Franklin
36361,83285,42.892210999999996,-111.267458,Wayan,ID,Caribou
36362,83286,42.060353000000006,-112.01319699999999,Weston,ID,Franklin
36363,83287,42.039684,-111.44197700000001,Fish Haven,ID,Bear Lake
36364,83301,42.443224,-114.629497,Twin Falls,ID,Twin Falls
36365,83302,42.166936,-114.81597099999999,Rogerson,ID,Twin Falls
36366,83303,42.456272999999996,-114.51953600000002,Twin Falls,ID,Twin Falls
36367,83311,42.339326,-113.461324,Albion,ID,Cassia
36368,83312,42.084606,-113.62825500000001,Almo,ID,Cassia
36369,83313,43.39476,-114.21771799999999,Bellevue,ID,Blaine
36370,83314,42.918993,-114.887601,Bliss,ID,Gooding
36371,83316,42.586201,-114.829856,Buhl,ID,Twin Falls
36372,83318,42.399471999999996,-113.84855800000001,Burley,ID,Cassia
36373,83320,43.391742,-114.076206,Carey,ID,Blaine
36374,83321,42.402884,-114.784168,Castleford,ID,Twin Falls
36375,83322,43.528155,-114.730694,Corral,ID,Camas
36376,83323,42.524527,-113.433757,Declo,ID,Cassia
36377,83324,42.888995,-114.289216,Dietrich,ID,Lincoln
36378,83325,42.586804,-114.246706,Eden,ID,Jerome
36379,83327,43.368419,-114.686706,Fairfield,ID,Camas
36380,83328,42.54076,-114.623799,Filer,ID,Twin Falls
36381,83330,42.907488,-114.773963,Gooding,ID,Gooding
36382,83332,42.807534999999994,-114.86211000000002,Hagerman,ID,Gooding
36383,83333,43.54195,-114.31008,Hailey,ID,Blaine
36384,83334,42.451937,-114.207144,Hansen,ID,Twin Falls
36385,83335,42.596069,-114.07131100000001,Hazelton,ID,Jerome
36386,83336,42.564732,-113.809824,Heyburn,ID,Minidoka
36387,83337,43.3277,-114.80171299999999,Hill City,ID,Camas
36388,83338,42.736869,-114.374568,Jerome,ID,Jerome
36389,83340,43.669159,-114.485781,Ketchum,ID,Blaine
36390,83341,42.50541,-114.367966,Kimberly,ID,Twin Falls
36391,83342,42.274076,-113.39273600000001,Malta,ID,Cassia
36392,83343,42.772954999999996,-113.50976200000001,Minidoka,ID,Minidoka
36393,83344,42.476903,-114.12051299999999,Murtaugh,ID,Twin Falls
36394,83346,42.193954,-113.872032,Oakley,ID,Cassia
36395,83347,42.684923,-113.79013300000001,Paul,ID,Minidoka
36396,83348,43.298245,-114.023913,Picabo,ID,Blaine
36397,83349,43.060804,-114.21240800000001,Richfield,ID,Lincoln
36398,83350,42.688753000000005,-113.648077,Rupert,ID,Minidoka
36399,83352,43.059165,-114.414825,Shoshone,ID,Lincoln
36400,83353,43.684047,-114.527235,Sun Valley,ID,Blaine
36401,83354,43.594633,-114.32256799999999,Sun Valley,ID,Blaine
36402,83355,42.747536,-114.730593,Wendell,ID,Gooding
36403,83401,43.516701,-111.69153500000002,Idaho Falls,ID,Bonneville
36404,83402,43.518240000000006,-112.13473400000001,Idaho Falls,ID,Bonneville
36405,83403,43.421132,-111.333376,Idaho Falls,ID,Bonneville
